Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2022-04-10,Nunavut,Total population,"33,056","29,881",n/a,81.60%,73.70%,n/a
2022-04-10,Nunavut,5 years and older,"32,902","29,745",n/a,90.40%,81.70%,n/a
2022-04-10,Nunavut,12 years and older,"28,711","27,009",n/a,93.90%,88.40%,n/a
2022-04-10,Nunavut,18 years and older,"24,817","23,525",n/a,95.60%,90.70%,n/a
2022-04-24,Canada,Total population,"32,446,926","31,200,835",n/a,83.40%,80.10%,n/a
2022-04-24,Canada,5 years and older,"32,440,067","31,196,350",n/a,87.60%,84.20%,n/a
2022-04-24,Canada,12 years and older,"30,809,119","30,006,612",n/a,90.20%,87.90%,n/a
2022-04-24,Canada,18 years and older,"28,638,574","27,928,310",n/a,90.60%,88.30%,n/a
2022-04-24,Newfoundland and Labrador,Total population,"498,904","478,765",n/a,94.90%,91.00%,n/a
2022-04-24,Newfoundland and Labrador,5 years and older,"498,893","478,762",n/a,98.50%,94.50%,n/a
2022-04-24,Newfoundland and Labrador,12 years and older,"470,027","456,405",n/a,>=99%,96.40%,n/a
2022-04-24,Newfoundland and Labrador,18 years and older,"438,491","425,952",n/a,>=99%,96.50%,n/a
2022-04-24,Prince Edward Island,Total population,"150,050","143,781",n/a,87.90%,84.20%,n/a
2022-04-24,Prince Edward Island,5 years and older,"149,722","143,512",n/a,91.70%,87.90%,n/a
2022-04-24,Prince Edward Island,12 years and older,"141,590","137,253",n/a,93.50%,90.70%,n/a
2022-04-24,Prince Edward Island,18 years and older,"131,747","127,789",n/a,94.10%,91.20%,n/a
2022-04-24,Nova Scotia,Total population,"899,803","853,043",n/a,88.20%,83.70%,n/a
2022-04-24,Nova Scotia,5 years and older,"899,803","853,043",n/a,92.00%,87.20%,n/a
2022-04-24,Nova Scotia,12 years and older,"854,789","823,427",n/a,93.80%,90.40%,n/a
2022-04-24,Nova Scotia,18 years and older,"800,845","772,358",n/a,94.10%,90.80%,n/a
2022-04-24,New Brunswick,Total population,"699,120","660,271",n/a,86.10%,81.30%,n/a
2022-04-24,New Brunswick,5 years and older,"698,637","659,921",n/a,89.70%,84.80%,n/a
2022-04-24,New Brunswick,12 years and older,"666,652","637,892",n/a,92.20%,88.20%,n/a
2022-04-24,New Brunswick,18 years and older,"623,027","596,616",n/a,92.50%,88.60%,n/a
2022-04-24,Quebec,Total population,"7,383,022","7,154,749",n/a,84.90%,82.30%,n/a
2022-04-24,Quebec,5 years and older,"7,382,254","7,154,250",n/a,89.20%,86.50%,n/a
2022-04-24,Quebec,12 years and older,"6,978,594","6,843,378",n/a,91.50%,89.80%,n/a
2022-04-24,Quebec,18 years and older,"6,490,921","6,374,588",n/a,91.70%,90.10%,n/a
2022-04-24,Ontario,Total population,"12,537,186","12,083,146",n/a,83.00%,80.00%,n/a
2022-04-24,Ontario,5 years and older,"12,533,744","12,081,014",n/a,87.10%,83.90%,n/a
2022-04-24,Ontario,12 years and older,"11,939,604","11,653,721",n/a,89.70%,87.60%,n/a
2022-04-24,Ontario,18 years and older,"11,107,316","10,854,787",n/a,90.10%,88.00%,n/a
2022-04-24,Manitoba,Total population,"1,147,979","1,103,840",n/a,81.50%,78.30%,n/a
2022-04-24,Manitoba,5 years and older,"1,147,917","1,103,828",n/a,86.50%,83.10%,n/a
2022-04-24,Manitoba,12 years and older,"1,073,499","1,050,291",n/a,89.40%,87.50%,n/a
2022-04-24,Manitoba,18 years and older,"986,870","967,624",n/a,90.00%,88.20%,n/a
2022-04-24,Saskatchewan,Total population,"954,867","904,392",n/a,79.90%,75.70%,n/a
2022-04-24,Saskatchewan,5 years and older,"954,277","903,964",n/a,85.00%,80.50%,n/a
2022-04-24,Saskatchewan,12 years and older,"891,167","858,057",n/a,88.10%,84.80%,n/a
2022-04-24,Saskatchewan,18 years and older,"815,026","786,204",n/a,88.60%,85.50%,n/a
2022-04-24,Alberta,Total population,"3,556,699","3,382,557",n/a,78.30%,74.50%,n/a
2022-04-24,Alberta,5 years and older,"3,555,961","3,382,093",n/a,83.00%,78.90%,n/a
2022-04-24,Alberta,12 years and older,"3,374,011","3,253,590",n/a,86.80%,83.70%,n/a
2022-04-24,Alberta,18 years and older,"3,104,367","2,996,478",n/a,87.40%,84.30%,n/a
2022-04-24,British Columbia,Total population,"4,514,531","4,337,495",n/a,84.90%,81.50%,n/a
2022-04-24,British Columbia,5 years and older,"4,514,531","4,337,495",n/a,88.60%,85.10%,n/a
2022-04-24,British Columbia,12 years and older,"4,323,624","4,200,235",n/a,91.10%,88.50%,n/a
2022-04-24,British Columbia,18 years and older,"4,053,477","3,941,983",n/a,91.50%,89.00%,n/a
2022-04-24,Yukon,Total population,"36,571","35,176",n/a,83.20%,80.00%,n/a
2022-04-24,Yukon,5 years and older,"36,468","35,102",n/a,87.40%,84.10%,n/a
2022-04-24,Yukon,12 years and older,"34,437","33,614",n/a,89.90%,87.70%,n/a
2022-04-24,Yukon,18 years and older,"32,192","31,466",n/a,90.40%,88.30%,n/a
2022-04-24,Northwest Territories,Total population,"35,085","33,580",n/a,80.40%,77.00%,n/a
2022-04-24,Northwest Territories,5 years and older,"34,907","33,463",n/a,85.20%,81.70%,n/a
2022-04-24,Northwest Territories,12 years and older,"32,392","31,672",n/a,87.60%,85.60%,n/a
2022-04-24,Northwest Territories,18 years and older,"29,460","28,888",n/a,87.90%,86.20%,n/a
2022-04-24,Nunavut,Total population,"33,109","30,040",n/a,81.70%,74.10%,n/a
2022-04-24,Nunavut,5 years and older,"32,953","29,903",n/a,90.50%,82.10%,n/a
2022-04-24,Nunavut,12 years and older,"28,733","27,077",n/a,94.00%,88.60%,n/a
2022-04-24,Nunavut,18 years and older,"24,835","23,577",n/a,95.70%,90.90%,n/a
2022-05-08,Canada,Total population,"32,457,424","31,228,339",n/a,83.40%,80.20%,n/a
2022-05-08,Canada,5 years and older,"32,449,754","31,223,027",n/a,87.60%,84.30%,n/a
2022-05-08,Canada,12 years and older,"30,826,833","30,024,350",n/a,90.30%,87.90%,n/a
2022-05-08,Canada,18 years and older,"28,660,776","27,950,640",n/a,90.70%,88.40%,n/a
2022-05-08,Newfoundland and Labrador,Total population,"499,164","479,355",n/a,94.90%,91.10%,n/a
2022-05-08,Newfoundland and Labrador,5 years and older,"499,152","479,352",n/a,98.60%,94.60%,n/a
2022-05-08,Newfoundland and Labrador,12 years and older,"470,224","456,681",n/a,>=99%,96.40%,n/a
2022-05-08,Newfoundland and Labrador,18 years and older,"438,711","426,239",n/a,>=99%,96.50%,n/a
2022-05-08,Prince Edward Island,Total population,"150,125","143,993",n/a,88.00%,84.40%,n/a
2022-05-08,Prince Edward Island,5 years and older,"149,714","143,660",n/a,91.70%,88.00%,n/a
2022-05-08,Prince Edward Island,12 years and older,"141,611","137,297",n/a,93.60%,90.70%,n/a
2022-05-08,Prince Edward Island,18 years and older,"131,783","127,845",n/a,94.10%,91.30%,n/a
2022-05-08,Nova Scotia,Total population,"900,298","854,255",n/a,88.30%,83.80%,n/a
2022-05-08,Nova Scotia,5 years and older,"900,298","854,255",n/a,92.00%,87.30%,n/a
2022-05-08,Nova Scotia,12 years and older,"855,482","824,300",n/a,93.90%,90.50%,n/a
2022-05-08,Nova Scotia,18 years and older,"801,528","773,236",n/a,94.20%,90.90%,n/a
2022-05-08,New Brunswick,Total population,"699,441","660,719",n/a,86.10%,81.40%,n/a
2022-05-08,New Brunswick,5 years and older,"698,709","660,130",n/a,89.70%,84.80%,n/a
2022-05-08,New Brunswick,12 years and older,"666,882","638,074",n/a,92.20%,88.20%,n/a
2022-05-08,New Brunswick,18 years and older,"623,309","596,898",n/a,92.60%,88.70%,n/a
2022-05-08,Quebec,Total population,"7,378,083","7,152,984",n/a,84.80%,82.30%,n/a
2022-05-08,Quebec,5 years and older,"7,377,093","7,152,265",n/a,89.20%,86.40%,n/a
2022-05-08,Quebec,12 years and older,"6,975,316","6,840,576",n/a,91.50%,89.70%,n/a
2022-05-08,Quebec,18 years and older,"6,487,365","6,371,729",n/a,91.60%,90.00%,n/a
2022-05-08,Ontario,Total population,"12,546,587","12,097,386",n/a,83.00%,80.10%,n/a
2022-05-08,Ontario,5 years and older,"12,543,245","12,095,305",n/a,87.10%,84.00%,n/a
2022-05-08,Ontario,12 years and older,"11,950,372","11,663,491",n/a,89.80%,87.60%,n/a
2022-05-08,Ontario,18 years and older,"11,118,592","10,865,437",n/a,90.10%,88.10%,n/a
2022-05-08,Manitoba,Total population,"1,148,288","1,104,825",n/a,81.50%,78.40%,n/a
2022-05-08,Manitoba,5 years and older,"1,148,227","1,104,814",n/a,86.50%,83.20%,n/a
2022-05-08,Manitoba,12 years and older,"1,074,018","1,050,783",n/a,89.40%,87.50%,n/a
2022-05-08,Manitoba,18 years and older,"987,435","968,176",n/a,90.00%,88.30%,n/a
2022-05-08,Saskatchewan,Total population,"955,433","905,328",n/a,80.00%,75.80%,n/a
2022-05-08,Saskatchewan,5 years and older,"954,542","904,599",n/a,85.00%,80.60%,n/a
2022-05-08,Saskatchewan,12 years and older,"895,744","861,870",n/a,88.60%,85.20%,n/a
2022-05-08,Saskatchewan,18 years and older,"821,516","792,352",n/a,89.30%,86.20%,n/a
2022-05-08,Alberta,Total population,"3,560,833","3,388,540",n/a,78.40%,74.60%,n/a
2022-05-08,Alberta,5 years and older,"3,560,058","3,388,048",n/a,83.10%,79.10%,n/a
2022-05-08,Alberta,12 years and older,"3,377,343","3,256,781",n/a,86.90%,83.80%,n/a
2022-05-08,Alberta,18 years and older,"3,107,253","2,999,227",n/a,87.40%,84.40%,n/a
2022-05-08,British Columbia,Total population,"4,514,324","4,341,946",n/a,84.90%,81.60%,n/a
2022-05-08,British Columbia,5 years and older,"4,514,324","4,341,946",n/a,88.60%,85.20%,n/a
2022-05-08,British Columbia,12 years and older,"4,324,194","4,202,028",n/a,91.20%,88.60%,n/a
2022-05-08,British Columbia,18 years and older,"4,056,743","3,945,485",n/a,91.60%,89.00%,n/a
2022-05-08,Yukon,Total population,"36,612","35,254",n/a,83.30%,80.20%,n/a
2022-05-08,Yukon,5 years and older,"36,519","35,184",n/a,87.50%,84.30%,n/a
2022-05-08,Yukon,12 years and older,"34,492","33,671",n/a,90.00%,87.90%,n/a
2022-05-08,Yukon,18 years and older,"32,235","31,515",n/a,90.50%,88.50%,n/a
2022-05-08,Northwest Territories,Total population,"35,102","33,621",n/a,80.50%,77.10%,n/a
2022-05-08,Northwest Territories,5 years and older,"34,902","33,481",n/a,85.20%,81.70%,n/a
2022-05-08,Northwest Territories,12 years and older,"32,419","31,691",n/a,87.70%,85.70%,n/a
2022-05-08,Northwest Territories,18 years and older,"29,478","28,909",n/a,87.90%,86.20%,n/a
2022-05-08,Nunavut,Total population,"33,134","30,133",n/a,81.80%,74.40%,n/a
2022-05-08,Nunavut,5 years and older,"32,971","29,988",n/a,90.60%,82.40%,n/a
2022-05-08,Nunavut,12 years and older,"28,736","27,107",n/a,94.00%,88.70%,n/a
2022-05-08,Nunavut,18 years and older,"24,828","23,592",n/a,95.70%,90.90%,n/a
2022-05-22,Canada,Total population,"32,479,011","31,256,165",n/a,83.40%,80.30%,n/a
2022-05-22,Canada,5 years and older,"32,471,381","31,250,873",n/a,87.60%,84.40%,n/a
2022-05-22,Canada,12 years and older,"30,852,649","30,045,023",n/a,90.40%,88.00%,n/a
2022-05-22,Canada,18 years and older,"28,687,087","27,972,787",n/a,90.70%,88.50%,n/a
2022-05-22,Newfoundland and Labrador,Total population,"499,354","479,708",n/a,94.90%,91.20%,n/a
2022-05-22,Newfoundland and Labrador,5 years and older,"499,342","479,705",n/a,98.60%,94.70%,n/a
2022-05-22,Newfoundland and Labrador,12 years and older,"470,368","456,865",n/a,>=99%,96.50%,n/a
2022-05-22,Newfoundland and Labrador,18 years and older,"438,862","426,422",n/a,>=99%,96.60%,n/a
2022-05-22,Prince Edward Island,Total population,"150,214","144,162",n/a,88.00%,84.50%,n/a
2022-05-22,Prince Edward Island,5 years and older,"149,820","143,841",n/a,91.70%,88.10%,n/a
2022-05-22,Prince Edward Island,12 years and older,"141,756","137,430",n/a,93.70%,90.80%,n/a
2022-05-22,Prince Edward Island,18 years and older,"131,948","128,000",n/a,94.20%,91.40%,n/a
2022-05-22,Nova Scotia,Total population,"900,733","855,308",n/a,88.30%,83.90%,n/a
2022-05-22,Nova Scotia,5 years and older,"900,733","855,308",n/a,92.10%,87.40%,n/a
2022-05-22,Nova Scotia,12 years and older,"856,125","825,107",n/a,94.00%,90.60%,n/a
2022-05-22,Nova Scotia,18 years and older,"802,191","774,094",n/a,94.30%,91.00%,n/a
2022-05-22,New Brunswick,Total population,"699,684","661,169",n/a,86.20%,81.40%,n/a
2022-05-22,New Brunswick,5 years and older,"699,042","660,671",n/a,89.80%,84.90%,n/a
2022-05-22,New Brunswick,12 years and older,"667,418","638,640",n/a,92.30%,88.30%,n/a
2022-05-22,New Brunswick,18 years and older,"623,813","597,482",n/a,92.70%,88.70%,n/a
2022-05-22,Quebec,Total population,"7,381,425","7,153,279",n/a,84.90%,82.30%,n/a
2022-05-22,Quebec,5 years and older,"7,380,359","7,152,513",n/a,89.20%,86.40%,n/a
2022-05-22,Quebec,12 years and older,"6,980,290","6,840,189",n/a,91.50%,89.70%,n/a
2022-05-22,Quebec,18 years and older,"6,492,364","6,371,556",n/a,91.70%,90.00%,n/a
2022-05-22,Ontario,Total population,"12,555,600","12,110,509",n/a,83.10%,80.20%,n/a
2022-05-22,Ontario,5 years and older,"12,552,355","12,108,458",n/a,87.20%,84.10%,n/a
2022-05-22,Ontario,12 years and older,"11,961,411","11,674,458",n/a,89.90%,87.70%,n/a
2022-05-22,Ontario,18 years and older,"11,130,278","10,877,554",n/a,90.20%,88.20%,n/a
2022-05-22,Manitoba,Total population,"1,148,563","1,105,592",n/a,81.50%,78.50%,n/a
2022-05-22,Manitoba,5 years and older,"1,148,505","1,105,582",n/a,86.50%,83.30%,n/a
2022-05-22,Manitoba,12 years and older,"1,074,567","1,051,323",n/a,89.50%,87.60%,n/a
2022-05-22,Manitoba,18 years and older,"987,988","968,766",n/a,90.10%,88.30%,n/a
2022-05-22,Saskatchewan,Total population,"956,027","906,183",n/a,80.00%,75.80%,n/a
2022-05-22,Saskatchewan,5 years and older,"955,139","905,464",n/a,85.10%,80.60%,n/a
2022-05-22,Saskatchewan,12 years and older,"896,544","862,657",n/a,88.60%,85.30%,n/a
2022-05-22,Saskatchewan,18 years and older,"822,351","793,199",n/a,89.40%,86.30%,n/a
2022-05-22,Alberta,Total population,"3,564,293","3,393,170",n/a,78.50%,74.70%,n/a
2022-05-22,Alberta,5 years and older,"3,563,474","3,392,655",n/a,83.20%,79.20%,n/a
2022-05-22,Alberta,12 years and older,"3,380,076","3,259,441",n/a,86.90%,83.80%,n/a
2022-05-22,Alberta,18 years and older,"3,109,560","3,001,538",n/a,87.50%,84.50%,n/a
2022-05-22,British Columbia,Total population,"4,518,189","4,347,866",n/a,84.90%,81.70%,n/a
2022-05-22,British Columbia,5 years and older,"4,518,189","4,347,866",n/a,88.70%,85.30%,n/a
2022-05-22,British Columbia,12 years and older,"4,328,432","4,206,384",n/a,91.20%,88.70%,n/a
2022-05-22,British Columbia,18 years and older,"4,061,188","3,950,129",n/a,91.70%,89.20%,n/a
2022-05-22,Yukon,Total population,"36,640","35,308",n/a,83.30%,80.30%,n/a
2022-05-22,Yukon,5 years and older,"36,521","35,206",n/a,87.50%,84.40%,n/a
2022-05-22,Yukon,12 years and older,"34,500","33,680",n/a,90.00%,87.90%,n/a
2022-05-22,Yukon,18 years and older,"32,242","31,516",n/a,90.50%,88.50%,n/a
2022-05-22,Northwest Territories,Total population,"35,127","33,662",n/a,80.50%,77.20%,n/a
2022-05-22,Northwest Territories,5 years and older,"34,920","33,517",n/a,85.20%,81.80%,n/a
2022-05-22,Northwest Territories,12 years and older,"32,423","31,705",n/a,87.70%,85.70%,n/a
2022-05-22,Northwest Territories,18 years and older,"29,481","28,922",n/a,88.00%,86.30%,n/a
2022-05-22,Nunavut,Total population,"33,162","30,249",n/a,81.80%,74.60%,n/a
2022-05-22,Nunavut,5 years and older,"32,982","30,087",n/a,90.60%,82.60%,n/a
2022-05-22,Nunavut,12 years and older,"28,739","27,144",n/a,94.00%,88.80%,n/a
2022-05-22,Nunavut,18 years and older,"24,821","23,609",n/a,95.60%,91.00%,n/a
2022-06-19,Canada,Total population,"32,510,323","31,310,924",n/a,83.50%,80.40%,n/a
2022-06-19,Canada,5 years and older,"32,502,712","31,305,535",n/a,87.70%,84.50%,n/a
2022-06-19,Canada,12 years and older,"30,893,210","30,090,389",n/a,90.50%,88.10%,n/a
2022-06-19,Canada,18 years and older,"28,728,965","28,019,593",n/a,90.90%,88.60%,n/a
2022-06-19,Newfoundland and Labrador,Total population,"499,706","480,313",n/a,95.00%,91.30%,n/a
2022-06-19,Newfoundland and Labrador,5 years and older,"499,693","480,310",n/a,98.70%,94.80%,n/a
2022-06-19,Newfoundland and Labrador,12 years and older,"470,645","457,211",n/a,>=99%,96.60%,n/a
2022-06-19,Newfoundland and Labrador,18 years and older,"439,128","426,741",n/a,>=99%,96.60%,n/a
2022-06-19,Prince Edward Island,Total population,"150,361","144,423",n/a,88.10%,84.60%,n/a
2022-06-19,Prince Edward Island,5 years and older,"149,949","144,096",n/a,91.80%,88.20%,n/a
2022-06-19,Prince Edward Island,12 years and older,"141,949","137,648",n/a,93.80%,90.90%,n/a
2022-06-19,Prince Edward Island,18 years and older,"132,173","128,249",n/a,94.40%,91.60%,n/a
2022-06-19,Nova Scotia,Total population,"901,462","856,948",n/a,88.40%,84.00%,n/a
2022-06-19,Nova Scotia,5 years and older,"901,462","856,948",n/a,92.20%,87.60%,n/a
2022-06-19,Nova Scotia,12 years and older,"857,197","826,465",n/a,94.10%,90.70%,n/a
2022-06-19,Nova Scotia,18 years and older,"803,331","775,559",n/a,94.40%,91.10%,n/a
2022-06-19,New Brunswick,Total population,"700,389","662,160",n/a,86.20%,81.50%,n/a
2022-06-19,New Brunswick,5 years and older,"699,633","661,548",n/a,89.90%,85.00%,n/a
2022-06-19,New Brunswick,12 years and older,"668,331","639,551",n/a,92.40%,88.40%,n/a
2022-06-19,New Brunswick,18 years and older,"624,765","598,487",n/a,92.80%,88.90%,n/a
2022-06-19,Quebec,Total population,"7,386,888","7,163,860",n/a,84.90%,82.40%,n/a
2022-06-19,Quebec,5 years and older,"7,385,830","7,163,099",n/a,89.30%,86.60%,n/a
2022-06-19,Quebec,12 years and older,"6,990,080","6,851,521",n/a,91.70%,89.90%,n/a
2022-06-19,Quebec,18 years and older,"6,501,974","6,382,531",n/a,91.90%,90.20%,n/a
2022-06-19,Ontario,Total population,"12,566,850","12,130,628",n/a,83.20%,80.30%,n/a
2022-06-19,Ontario,5 years and older,"12,563,795","12,128,690",n/a,87.30%,84.30%,n/a
2022-06-19,Ontario,12 years and older,"11,976,518","11,691,522",n/a,90.00%,87.80%,n/a
2022-06-19,Ontario,18 years and older,"11,147,097","10,896,475",n/a,90.40%,88.30%,n/a
2022-06-19,Manitoba,Total population,"1,149,061","1,106,889",n/a,81.50%,78.50%,n/a
2022-06-19,Manitoba,5 years and older,"1,149,007","1,106,879",n/a,86.50%,83.40%,n/a
2022-06-19,Manitoba,12 years and older,"1,075,621","1,052,312",n/a,89.60%,87.60%,n/a
2022-06-19,Manitoba,18 years and older,"989,078","969,870",n/a,90.20%,88.40%,n/a
2022-06-19,Saskatchewan,Total population,"956,997","907,617",n/a,80.10%,76.00%,n/a
2022-06-19,Saskatchewan,5 years and older,"956,096","906,877",n/a,85.10%,80.80%,n/a
2022-06-19,Saskatchewan,12 years and older,"897,959","864,040",n/a,88.80%,85.40%,n/a
2022-06-19,Saskatchewan,18 years and older,"823,863","794,726",n/a,89.60%,86.40%,n/a
2022-06-19,Alberta,Total population,"3,569,539","3,400,971",n/a,78.60%,74.90%,n/a
2022-06-19,Alberta,5 years and older,"3,568,753","3,400,453",n/a,83.30%,79.30%,n/a
2022-06-19,Alberta,12 years and older,"3,384,390","3,264,206",n/a,87.10%,84.00%,n/a
2022-06-19,Alberta,18 years and older,"3,113,135","3,005,445",n/a,87.60%,84.60%,n/a
2022-06-19,British Columbia,Total population,"4,524,033","4,357,594",n/a,85.00%,81.90%,n/a
2022-06-19,British Columbia,5 years and older,"4,524,033","4,357,594",n/a,88.80%,85.50%,n/a
2022-06-19,British Columbia,12 years and older,"4,334,785","4,213,259",n/a,91.40%,88.80%,n/a
2022-06-19,British Columbia,18 years and older,"4,067,796","3,957,340",n/a,91.80%,89.30%,n/a
2022-06-19,Yukon,Total population,"36,658","35,388",n/a,83.40%,80.50%,n/a
2022-06-19,Yukon,5 years and older,"36,506","35,258",n/a,87.50%,84.50%,n/a
2022-06-19,Yukon,12 years and older,"34,498","33,711",n/a,90.00%,88.00%,n/a
2022-06-19,Yukon,18 years and older,"32,255","31,553",n/a,90.50%,88.60%,n/a
2022-06-19,Northwest Territories,Total population,"35,159","33,706",n/a,80.60%,77.30%,n/a
2022-06-19,Northwest Territories,5 years and older,"34,941","33,543",n/a,85.30%,81.90%,n/a
2022-06-19,Northwest Territories,12 years and older,"32,469","31,736",n/a,87.80%,85.80%,n/a
2022-06-19,Northwest Territories,18 years and older,"29,528","28,960",n/a,88.10%,86.40%,n/a
2022-06-19,Nunavut,Total population,"33,220","30,427",n/a,82.00%,75.10%,n/a
2022-06-19,Nunavut,5 years and older,"33,014","30,240",n/a,90.70%,83.10%,n/a
2022-06-19,Nunavut,12 years and older,"28,768","27,207",n/a,94.10%,89.00%,n/a
2022-06-19,Nunavut,18 years and older,"24,842","23,657",n/a,95.70%,91.20%,n/a
2022-07-17,Canada,Total population,"32,520,878","31,337,269",n/a,83.50%,80.50%,n/a
2022-07-17,Canada,5 years and older,"32,513,100","31,331,648",n/a,87.80%,84.60%,n/a
2022-07-17,Canada,12 years and older,"30,914,757","30,113,980",n/a,90.50%,88.20%,n/a
2022-07-17,Canada,18 years and older,"28,753,932","28,046,600",n/a,91.00%,88.70%,n/a
2022-07-17,Newfoundland and Labrador,Total population,"500,017","480,724",n/a,95.10%,91.40%,n/a
2022-07-17,Newfoundland and Labrador,5 years and older,"500,003","480,721",n/a,98.70%,94.90%,n/a
2022-07-17,Newfoundland and Labrador,12 years and older,"470,910","457,500",n/a,>=99%,96.60%,n/a
2022-07-17,Newfoundland and Labrador,18 years and older,"439,361","426,993",n/a,>=99%,96.70%,n/a
2022-07-17,Prince Edward Island,Total population,"150,503","144,598",n/a,88.20%,84.70%,n/a
2022-07-17,Prince Edward Island,5 years and older,"150,066","144,242",n/a,91.90%,88.30%,n/a
2022-07-17,Prince Edward Island,12 years and older,"142,164","137,851",n/a,93.90%,91.10%,n/a
2022-07-17,Prince Edward Island,18 years and older,"132,398","128,466",n/a,94.50%,91.70%,n/a
2022-07-17,Nova Scotia,Total population,"902,193","858,015",n/a,88.50%,84.10%,n/a
2022-07-17,Nova Scotia,5 years and older,"902,193","858,015",n/a,92.20%,87.70%,n/a
2022-07-17,Nova Scotia,12 years and older,"858,328","827,626",n/a,94.20%,90.90%,n/a
2022-07-17,Nova Scotia,18 years and older,"804,563","776,882",n/a,94.50%,91.30%,n/a
2022-07-17,New Brunswick,Total population,"700,961","662,855",n/a,86.30%,81.60%,n/a
2022-07-17,New Brunswick,5 years and older,"700,193","662,221",n/a,89.90%,85.10%,n/a
2022-07-17,New Brunswick,12 years and older,"669,243","640,331",n/a,92.50%,88.50%,n/a
2022-07-17,New Brunswick,18 years and older,"625,802","599,443",n/a,93.00%,89.00%,n/a
2022-07-17,Quebec,Total population,"7,379,856","7,160,050",n/a,84.90%,82.30%,n/a
2022-07-17,Quebec,5 years and older,"7,378,649","7,159,119",n/a,89.20%,86.50%,n/a
2022-07-17,Quebec,12 years and older,"6,987,305","6,849,433",n/a,91.60%,89.80%,n/a
2022-07-17,Quebec,18 years and older,"6,499,445","6,380,579",n/a,91.80%,90.10%,n/a
2022-07-17,Ontario,Total population,"12,573,708","12,144,279",n/a,83.20%,80.40%,n/a
2022-07-17,Ontario,5 years and older,"12,570,715","12,142,351",n/a,87.30%,84.40%,n/a
2022-07-17,Ontario,12 years and older,"11,987,841","11,703,967",n/a,90.10%,87.90%,n/a
2022-07-17,Ontario,18 years and older,"11,160,723","10,911,329",n/a,90.50%,88.50%,n/a
2022-07-17,Manitoba,Total population,"1,149,563","1,107,887",n/a,81.60%,78.60%,n/a
2022-07-17,Manitoba,5 years and older,"1,149,506","1,107,877",n/a,86.60%,83.40%,n/a
2022-07-17,Manitoba,12 years and older,"1,076,672","1,053,290",n/a,89.70%,87.70%,n/a
2022-07-17,Manitoba,18 years and older,"990,291","971,086",n/a,90.30%,88.50%,n/a
2022-07-17,Saskatchewan,Total population,"957,838","908,674",n/a,80.20%,76.10%,n/a
2022-07-17,Saskatchewan,5 years and older,"956,949","907,938",n/a,85.20%,80.90%,n/a
2022-07-17,Saskatchewan,12 years and older,"899,247","865,173",n/a,88.90%,85.50%,n/a
2022-07-17,Saskatchewan,18 years and older,"825,271","796,073",n/a,89.70%,86.60%,n/a
2022-07-17,Alberta,Total population,"3,573,383","3,407,087",n/a,78.70%,75.00%,n/a
2022-07-17,Alberta,5 years and older,"3,572,543","3,406,530",n/a,83.40%,79.50%,n/a
2022-07-17,Alberta,12 years and older,"3,387,612","3,267,983",n/a,87.10%,84.10%,n/a
2022-07-17,Alberta,18 years and older,"3,115,809","3,008,412",n/a,87.70%,84.70%,n/a
2022-07-17,British Columbia,Total population,"4,527,735","4,363,364",n/a,85.10%,82.00%,n/a
2022-07-17,British Columbia,5 years and older,"4,527,735","4,363,364",n/a,88.80%,85.60%,n/a
2022-07-17,British Columbia,12 years and older,"4,339,627","4,218,054",n/a,91.50%,88.90%,n/a
2022-07-17,British Columbia,18 years and older,"4,073,570","3,963,059",n/a,91.90%,89.40%,n/a
2022-07-17,Yukon,Total population,"36,677","35,451",n/a,83.40%,80.60%,n/a
2022-07-17,Yukon,5 years and older,"36,516","35,324",n/a,87.50%,84.70%,n/a
2022-07-17,Yukon,12 years and older,"34,520","33,745",n/a,90.10%,88.10%,n/a
2022-07-17,Yukon,18 years and older,"32,276","31,590",n/a,90.60%,88.70%,n/a
2022-07-17,Northwest Territories,Total population,"35,159","33,706",n/a,80.60%,77.30%,n/a
2022-07-17,Northwest Territories,5 years and older,"34,941","33,543",n/a,85.30%,81.90%,n/a
2022-07-17,Northwest Territories,12 years and older,"32,469","31,736",n/a,87.80%,85.80%,n/a
2022-07-17,Northwest Territories,18 years and older,"29,528","28,960",n/a,88.10%,86.40%,n/a
2022-07-17,Nunavut,Total population,"33,285","30,579",n/a,82.10%,75.50%,n/a
2022-07-17,Nunavut,5 years and older,"33,091","30,403",n/a,90.90%,83.50%,n/a
2022-07-17,Nunavut,12 years and older,"28,819","27,291",n/a,94.30%,89.30%,n/a
2022-07-17,Nunavut,18 years and older,"24,895","23,728",n/a,95.90%,91.40%,n/a
2022-08-14,Canada,Total population,"32,208,610","24,205,582","6,635,286",82.70%,80.10%,17.30%
2022-08-14,Canada,5 years and older,"32,138,107","24,194,509","6,627,953",86.70%,84.10%,18.10%
2022-08-14,Canada,12 years and older,"30,563,132","23,288,296","6,324,107",89.50%,87.80%,18.80%
2022-08-14,Canada,18 years and older,"28,417,558","21,698,243","6,009,171",89.90%,88.40%,19.30%
2022-08-14,Newfoundland and Labrador,Total population,"501,184","481,112",n/a,95.30%,91.50%,n/a
